"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,         168,       1.111724482,      -1.273556563,       -1.47259519,                 0,      -4.173734403
          0,           0,         169,       1.112782039,      -1.272444302,      -1.473387723,                 0,      -4.174019417
          0,           0,         170,       1.113877398,      -1.271277565,      -1.474185664,                 0,      -4.174378812
          0,           0,         171,       1.114974758,      -1.270095788,      -1.475001689,                 0,      -4.174839008
          0,           0,         172,       1.116038446,      -1.268937357,      -1.475792294,                 0,      -4.175402461
          0,           0,         173,       1.117032708,      -1.267839154,      -1.476450763,                 0,      -4.176046291
          0,           0,         174,       1.117921228,      -1.266836337,      -1.476804964,                 0,      -4.176722826
          0,           0,         175,       1.118666601,      -1.265962209,      -1.476621198,                 0,      -4.177361883
          0,           0,         176,       1.119229983,      -1.265248033,      -1.475615542,                 0,      -4.177874562
          0,           0,         177,        1.11957108,      -1.264722674,      -1.473473697,                 0,      -4.178158313
          0,           0,         178,       1.119648602,      -1.264412007,      -1.469879233,                 0,      -4.178102974
          0,           0,         179,       1.119421205,       -1.26433803,      -1.464547956,                 0,       -4.17759741
          0,           0,         180,       1.118848939,      -1.264517699,      -1.457263592,                 0,      -4.176536281
          0,           0,         181,       1.117895145,      -1.264961499,      -1.447908023,                 0,      -4.174826432
          0,           0,         182,       1.116528748,      -1.265671798,      -1.436479295,                 0,      -4.172392351
          0,           0,         183,       1.114726842,      -1.266641079,      -1.423093118,                 0,       -4.16918026
          0,           0,         184,       1.112477511,      -1.267850117,      -1.407967883,                 0,      -4.165160494
          0,           0,         185,       1.109782778,      -1.269266249,      -1.391397519,                 0,      -4.160328078
          0,           0,         186,       1.106661604,      -1.270841851,      -1.373718968,                 0,      -4.154701606
          0,           0,         187,       1.103152803,      -1.272513237,      -1.355280963,                 0,      -4.148320757
          0,           0,         188,       1.099317715,      -1.274200161,      -1.336418767,                 0,      -4.141242868
          0,           0,         189,       1.095242407,      -1.275806181,      -1.317436909,                 0,       -4.13353905
          0,           0,         190,       1.091039062,      -1.277220142,      -1.298599707,                 0,      -4.125290289
          0,           0,         191,       1.086846141,         -1.278319,      -1.280128115,                 0,      -4.116583847
          0,           0,         192,       1.082826785,       -1.27897215,      -1.262200971,                 0,       -4.10751018
          0,           0,         193,       1.079164925,      -1.279047269,      -1.244958879,                 0,      -4.098160446
          0,           0,         194,       1.076058649,      -1.278417459,      -1.228509334,                 0,        -4.0886246
          0,           0,         195,       1.073710613,      -1.276969225,       -1.21293216,                 0,      -4.078989988
          0,           0,         196,       1.072315806,      -1.274610553,      -1.198284678,                 0,      -4.069340348
          0,           0,         197,       1.072047534,      -1.271278161,      -1.184606311,                 0,      -4.059755105
          0,           0,         198,       1.073043198,      -1.266942988,      -1.171922514,                 0,      -4.050308873
          0,           0,         199,       1.075391882,      -1.261613123,      -1.160248016,                 0,      -4.041071084
          0,           0,         200,       1.079125792,       -1.25533376,      -1.149589431,                 0,      -4.032105715
          0,           0,         201,       1.084217094,      -1.248184199,      -1.139947312,                 0,      -4.023471067
          0,           0,         202,       1.090580719,      -1.240272404,      -1.131317739,                 0,      -4.015219607
          0,           0,         203,        1.09808253,      -1.231727906,      -1.123693522,                 0,      -4.007397854
          0,           0,         204,       1.106551303,      -1.222694021,      -1.117065092,                 0,      -4.000046325
          0,           0,         205,       1.115792468,      -1.213320259,      -1.111421151,                 0,      -3.993199556
          0,           0,         206,       1.125601599,      -1.203755615,      -1.106749135,                 0,      -3.986886177
          0,           0,         207,       1.135776143,      -1.194143151,      -1.103035532,                 0,      -3.981129084
          0,           0,         208,       1.146124502,      -1.184616033,      -1.100266111,                 0,      -3.975945672
          0,           0,         209,       1.156472249,      -1.175294964,      -1.098426069,                 0,      -3.971348147
          0,           0,         210,       1.166665679,      -1.166286827,      -1.097500147,                 0,       -3.96734391
          0,           0,         211,       1.176573196,      -1.157684301,      -1.097472717,                 0,      -3.963935992
          0,           0,         212,       1.186085099,       -1.14956618,      -1.098327859,                 0,       -3.96112354
          0,           0,         213,        1.19511231,      -1.141998166,      -1.100049451,                 0,      -3.958902328
          0,           0,         214,       1.203584496,      -1.135033935,      -1.102621248,                 0,      -3.957265285
          0,           0,         215,        1.21144792,      -1.128716334,      -1.106026984,                 0,       -3.95620301
          0,           0,         216,       1.218663266,      -1.123078592,      -1.110250467,                 0,      -3.955704263
          0,           0,         217,       1.225203573,      -1.118145474,      -1.115275672,                 0,      -3.955756395
          0,           0,         218,       1.231052373,      -1.113934337,      -1.121086808,                 0,      -3.956345714
          0,           0,         219,       1.236202068,      -1.110456059,      -1.127668349,                 0,       -3.95745775
          0,           0,         220,        1.24065254,      -1.107715839,      -1.135005003,                 0,      -3.959077404
          0,           0,         221,       1.244409989,      -1.105713862,      -1.143081586,                 0,      -3.961188986
          0,           0,         222,        1.24748597,      -1.104445851,      -1.151882769,                 0,      -3.963776109
          0,           0,         223,       1.249896592,      -1.103903498,      -1.161392676,                 0,      -3.966821459
          0,           0,         224,       1.251661836,       -1.10407482,      -1.171594268,                 0,      -3.970306452
          0,           0,         225,       1.252804973,      -1.104944433,      -1.182468495,                 0,      -3.974210783
          0,           0,         226,       1.253352027,      -1.106493776,      -1.193993166,                 0,      -3.978511917
          0,           0,         227,       1.253331263,      -1.108701307,      -1.206141498,                 0,      -3.983184547
          0,           0,         228,       1.252772661,      -1.111542681,      -1.218880316,                 0,      -3.988200076
          0,           0,         229,       1.251707367,      -1.114990943,      -1.232167889,                 0,      -3.993526186
          0,           0,         230,       1.250167087,      -1.119016741,      -1.245951405,                 0,      -3.999126537
          0,           0,         231,       1.248183435,      -1.123588582,      -1.260164142,                 0,      -4.004960686
          0,           0,         232,       1.245787213,      -1.128673156,      -1.274722424,                 0,      -4.010984272
          0,           0,         233,       1.243007666,      -1.134235708,      -1.289522571,                 0,      -4.017149522
          0,           0,         234,       1.239871696,      -1.140240496,      -1.304438144,                 0,       -4.02340612
          0,           0,         235,       1.236403101,      -1.146651309,      -1.319317917,                 0,      -4.029702438
          0,           0,         236,       1.232621849,      -1.153432043,      -1.333985204,                 0,      -4.035987116
          0,           0,         237,        1.22854345,      -1.160547318,      -1.348239233,                 0,      -4.042210921
          0,           0,         238,       1.224178458,      -1.167963109,      -1.361859361,                 0,      -4.048328768
          0,           0,         239,       1.219532144,      -1.175647351,      -1.374612753,                 0,      -4.054301782
          0,           0,         240,       1.214604385,      -1.183570485,      -1.386265784,                 0,      -4.060099199
          0,           0,         241,       1.209389769,      -1.191705906,      -1.396598749,                 0,      -4.065699943
          0,           0,         242,        1.20387795,      -1.200030258,      -1.405422578,                 0,      -4.071093697
          0,           0,         243,       1.198054232,      -1.208523549,      -1.412595356,                 0,      -4.076281354
          0,           0,         244,       1.191900365,      -1.217169063,      -1.418035928,                 0,      -4.081274754
          0,           0,         245,       1.185395536,      -1.225953032,      -1.421731967,                 0,       -4.08609572
          0,           0,         246,       1.178517503,      -1.234864084,      -1.423740832,                 0,      -4.090774463
          0,           0,         247,       1.171243854,      -1.243892473,      -1.424182989,                 0,       -4.09534747
          0,           0,         248,       1.163553325,      -1.253029101,      -1.423229342,                 0,      -4.099855056
          0,           0,         249,       1.155427174,      -1.262264406,      -1.421084929,                 0,      -4.104338764
          0,           0,         250,        1.14685055,      -1.271587125,       -1.41797175,                 0,      -4.108838789
          0,           0,         251,       1.137813863,      -1.280983025,      -1.414113123,                 0,      -4.113391588
          0,           0,         252,       1.128314109,      -1.290433648,      -1.409721121,                 0,      -4.118027801
          0,           0,         253,       1.118356165,      -1.299915147,      -1.404987751,                 0,      -4.122770568
          0,           0,         254,       1.107954011,      -1.309397288,      -1.400079743,                 0,        -4.1276343
          0,           0,         255,       1.097131885,      -1.318842687,      -1.395136423,                 0,      -4.132623925
          0,           0,         256,       1.085925337,      -1.328206367,      -1.390269906,                 0,      -4.137734605
          0,           0,         257,       1.074382137,      -1.337435694,      -1.385566863,                 0,      -4.142951927
          0,           0,         258,       1.062562999,      -1.346470777,      -1.381091235,                 0,      -4.148252512
          0,           0,         259,        1.05054202,      -1.355245366,      -1.376887393,                 0,      -4.153605024
          0,           0,         260,       1.038406757,       -1.36368829,      -1.372983402,                 0,      -4.158971517
          0,           0,         261,       1.026257807,       -1.37172543,      -1.369394169,                 0,       -4.16430906
          0,           0,         262,       1.014207754,      -1.379282163,      -1.366124317,                 0,      -4.169571554
          0,           0,         263,       1.002379366,      -1.386286203,      -1.363170744,                 0,      -4.174711664
          0,           0,         264,       0.990902926,      -1.392670644,      -1.360524794,                 0,      -4.179682746
          0,           0,         265,      0.9799126606,      -1.398377016,      -1.358174065,                 0,      -4.184440668
          0,           0,         266,      0.9695423105,       -1.40335811,      -1.356103854,                 0,      -4.188945417
          0,           0,         267,      0.9599200168,      -1.407580313,       -1.35429827,                 0,      -4.193162392
          0,           0,         268,      0.9511628346,      -1.411025252,       -1.35274106,                 0,      -4.197063329
          0,           0,         269,      0.9433713159,      -1.413690576,      -1.351416183,                 0,      -4.200626807
          0,           0,         270,      0.9366246833,      -1.415589827,       -1.35030817,                 0,      -4.203838331
          0,           0,         271,      0.9309771212,      -1.416751413,      -1.349402333,                 0,      -4.206690045
          0,           0,         272,      0.9264556136,       -1.41721682,      -1.348684844,                 0,      -4.209180125
          0,           0,         273,      0.9230595835,      -1.417038268,      -1.348142749,                 0,      -4.211311952
          0,           0,         274,      0.9207623473,      -1.416276018,      -1.347763933,                 0,      -4.213093171
          0,           0,         275,      0.9195141626,      -1.414995594,      -1.347537093,                 0,      -4.214534717
          0,           0,         276,      0.9192464587,      -1.413265107,      -1.347451721,                 0,      -4.215649925
          0,           0,         277,      0.9198767318,      -1.411152865,      -1.347498128,                 0,      -4.216453757
          0,           0,         278,      0.9213135842,      -1.408725348,       -1.34766752,                 0,      -4.216962216
          0,           0,         279,      0.9234614564,      -1.406045625,      -1.347952115,                 0,      -4.217191951
          0,           0,         280,      0.9262247275,      -1.403172206,      -1.348345315,                 0,      -4.217160046
          0,           0,         281,      0.9295109989,      -1.400158304,      -1.348841916,                 0,      -4.216883975
          0,           0,         282,      0.9332335034,      -1.397051455,      -1.349438338,                 0,      -4.216381684
          0,           0,         283,      0.9373126818,      -1.393893433,      -1.350132868,                 0,      -4.215671748
          0,           0,         284,      0.9416770309,      -1.390720409,      -1.350925891,                 0,      -4.214773569
          0,           0,         285,      0.9462633601,       -1.38756327,        -1.3518201,                 0,      -4.213707568
          0,           0,         286,      0.9510166004,      -1.384448071,      -1.352820668,                 0,       -4.21249533
          0,           0,         287,      0.9558892965,      -1.381396551,      -1.353935361,                 0,      -4.211159688
          0,           0,         288,      0.9608408987,      -1.378426698,        -1.3551746,                 0,      -4.209724716
          0,           0,         289,      0.9658369445,      -1.375553313,      -1.356551444,                 0,      -4.208215636
          0,           0,         290,      0.9708481999,      -1.372788569,      -1.358081519,                 0,      -4.206658643
          0,           0,         291,      0.9758498103,      -1.370142536,       -1.35978287,                 0,      -4.205080643
          0,           0,         292,       0.980820495,      -1.367623669,      -1.361675751,                 0,      -4.203508945
          0,           0,         293,       0.985741806,      -1.365239251,      -1.363782365,                 0,      -4.201970901
          0,           0,         294,       0.990597462,      -1.362995778,      -1.366126552,                 0,      -4.200493532
          0,           0,         295,      0.9953727628,      -1.360899301,       -1.36873344,                 0,      -4.199103151
          0,           0,         296,       1.000054084,       -1.35895571,      -1.371629065,                 0,      -4.197825002
          0,           0,         297,       1.004628446,      -1.357170966,      -1.374839972,                 0,      -4.196682933
          0,           0,         298,       1.009083157,      -1.355551295,      -1.378392796,                 0,      -4.195699104
          0,           0,         299,       1.013405521,      -1.354103332,      -1.382313836,                 0,      -4.194893758
          0,           0,         300,       1.017582599,      -1.352834228,      -1.386628631,                 0,      -4.194285042
          0,           0,         301,       1.021601035,      -1.351751723,      -1.391361515,                 0,      -4.193888881
          0,           0,         302,       1.025446917,      -1.350864195,       -1.39653519,                 0,       -4.19371893
          0,           0,         303,       1.029105689,      -1.350180674,      -1.402170274,                 0,      -4.193786563
          0,           0,         304,       1.032562106,      -1.349710843,      -1.408284858,                 0,      -4.194100934
